Date,News Source,Title,Description,URL of Article,Duplicate
10/15/2020,"Business Standard","These Tata, Birla, Ambani Group Stocks Can Make You Rich. Check Key Levels","From a medium-term perspective, these 6 stocks should provide a good upside from the current levels. Also, these stocks can mitigate the risks in port...","/article/markets/these-tata-birla-ambani-group-stocks-can-make-you-rich-check-key-levels-120101500531_1.html",0
10/13/2020,"Business Standard","Reliance Jio, Bharti Airtel Ring In Active Vs Inactive Subscriber Battle","Jio had over 87 million users who were inactive customers in June. That means only 78.15 per cent of its total subscriber base was active","/article/companies/reliance-jio-bharti-airtel-ring-in-active-vs-inactive-subscriber-battle-120101300051_1.html",0
10/12/2020,"Business Standard","Private Equity Firm Blackstone Seeks Clarity On Reliance-Future Deal","Fate of PE firm's Rs 1,750-crore investment remains uncertain","/article/companies/private-equity-firm-blackstone-seeks-clarity-on-reliance-future-deal-120101100948_1.html",0
10/9/2020,"Business Standard","Amazon'S Arbitration Proceedings Against Future Group May Start From Nov","This follows a dispute over the Future's sale of its retail and wholesale businesses to Reliance Industries Ltd (RIL)","/article/companies/amazon-s-arbitration-proceedings-against-future-group-may-start-from-nov-120100901482_1.html",0
10/9/2020,"Business Standard","Bse Listed Companies' Market-Cap Hits Record High At Rs 160.68 Trillion","The S&P BSE Sensex is just 4 per cent away from its all-time high level of 42,273.87, touched on January 20, 2020.","/article/markets/bse-listed-companies-market-cap-hits-record-high-at-rs-160-68-trillion-120100900753_1.html",0
10/9/2020,"Business Standard","Future Group, Amazon To Initiate Arbitration Proceedings Over Ril Deal","Amazon says the deal violates the no-compete contract signed with the Future group and the RIL-Future deal will derail its plans to buy a stake in Fut...","/article/companies/future-group-amazon-to-initiate-arbitration-proceedings-over-ril-deal-120100801122_1.html",0
10/8/2020,"Press Trust of India","Jio Designed To Help India Lead Fourth Industrial Revolution: Mukesh Ambani","While it took 25 years for the Indian telecom industry to build its 2G network, Jio built its 4G network in only three years.","/article/companies/jio-designed-to-help-india-lead-fourth-industrial-revolution-mukesh-ambani-120100801749_1.html",0
10/7/2020,"Reuters","Amazon Sends Legal Notice To Future Group Over Reliance Deal: Report","Amazon, in its legal notice, cited a contract arrangement that included ""a restricted list"" of companies Future was not supposed to enter deals with, ...","/article/companies/amazon-sends-legal-notice-to-future-group-over-reliance-retail-deal-report-120100701581_1.html",0
10/7/2020,"Business Standard","Market Wrap:  Sensex Rises For 5Th Day, Ends 304 Pts Higher; Titan Gains 4%","All that happened in the markets today","/article/markets/market-live-markets-sensex-nifty-bse-nse-sgx-nifty-tcs-majesco-120100700157_1.html",0
10/7/2020,"Business Standard","Reliance Retail Vs Dmart: Why Ubs Thinks Ril May Emerge As The Winner","ADIA joins the league of Silver Lake, KKR, General Atlantic, Mubadala Investment Company, GIC, and TPG who have cumulatively invested Rs 37,710 crore ...","/article/markets/reliance-retail-vs-dmart-why-ubs-thinks-ril-may-emerge-as-the-winner-120100700498_1.html",0
10/7/2020,"Business Standard","Ril Up 3% As Abu Dhabi Investment Authority Picks Stake In Reliance Retail","With this investment, RRVL has raised Rs 37,710 crore from leading global investors including Silver Lake, KKR, General Atlantic, Mubadala, GIC, TPG a...","/article/markets/ril-gains-3-on-adia-rs-5-512-crore-investment-plan-in-reliance-retail-120100700258_1.html",0
10/7/2020,"Business Standard","Stocks To Watch: Tcs, Sbi, Ril, Bajaj Finance, Dixon Tech, Psp Projects","Here's a list of stocks that may trade actively in today's session.","/article/markets/stocks-to-watch-tcs-sbi-ril-bajaj-finance-dixon-tech-psp-projects-120100700187_1.html",0
10/7/2020,"Business Standard","Reliance Retail Ventures Likely To Divest Only 10-15% Stake: Sources","The large divestment was aimed at making RIL debt-free much earlier than its target of next March. RIL had a net debt of over Rs 160,000 crore","/article/companies/reliance-retail-ventures-likely-to-divest-only-10-15-stake-sources-120100700030_1.html",0
10/7/2020,"Business Standard","Abu Dhabi Investment Authority Invests Rs 5,512.50 Cr In Reliance Retail","With eight deals in four weeks, analysts were expecting the valuation of the firm to touch at least Rs 4.5 trillion","/article/companies/abu-dhabi-investment-authority-invests-rs-5-512-50-cr-in-reliance-retail-120100601480_1.html",0
10/5/2020,"Bloomberg","Can A Tata Vs Ambani 'Super-App' Battle Make Them India'S Alibaba-Tencent?","The 152-year-old Tata Group is talking to Walmart Inc. for a $25 billion investment in a ""super-app,"" a multipurpose online platform","/article/companies/can-a-tata-vs-ambani-super-app-battle-make-them-india-s-alibaba-tencent-120100500262_1.html",0
10/5/2020,"Business Standard","Market Wrap: Sensex Up 277 Pts; Tcs' M-Cap Tops Rs 10 Trn, Stock Jumps 7%","All that happened in the markets today","/article/markets/market-live-sgx-nifty-up-100-points-angel-broking-to-list-today-120100500127_1.html",0
10/5/2020,"Business Standard","Stocks To Watch: Tcs, Ril, Tata Motors, Vedanta, Banks, Hindalco, Hero Moto","Here's a list of stocks that may trade actively in today's session.","/article/markets/stocks-to-watch-tcs-ril-tata-motors-vedanta-banks-hindalco-hero-moto-120100500159_1.html",0
10/3/2020,"Reuters","Gic, Tpg To Invest About $1 Billion In Retail Arm, Says Reliance Industries","GIC will invest Rs 5,512 crore for a 1.22% stake, while TPG Capital will invest Rs 1,838 crore to own a 0.41% equity stake in the retail arm","/article/companies/gic-tpg-to-invest-about-1-billion-in-retail-arm-says-reliance-industries-120100300091_1.html",0
10/3/2020,"Business Standard","India Inc Seeks To Pare Debt Via Invits As Foreigners Are Keen To Invest","High interest rates, low-risk model key attractions for overseas investors","/article/companies/india-inc-seeks-to-pare-debt-via-invits-as-foreigners-are-keen-to-invest-120100200762_1.html",0
10/3/2020,"IANS","Investment Fund Tpg To Invest Rs 1,837 Crore In Reliance Retail Ventures","This investment values Reliance Retail at a pre-money equity value of Rs 4.285 trillion","/article/companies/investment-fund-tpg-to-invest-rs-1-837-crore-in-reliance-retail-ventures-120100300076_1.html",0
10/3/2020,"Business Standard","Singapore'S Gic To Invest Rs 5,512.5 Crore In Reliance Retail Ventures","GIC's investment will translate into a 1.22% equity stake in Reliance Retail on a fully diluted basis.","/article/companies/singapore-s-gic-to-invest-rs-5-512-5-crore-in-reliance-retail-ventures-120100300062_1.html",0
10/2/2020,"Business Standard","Rising In The Pandemic: What Makes Reliance So Attractive For Investors?","Reliance has raised more than $20 billion by selling stakes in Jio Platforms. Global investors including Facebook and Google bought a combined 33% in ...","/podcast/companies/rising-in-the-pandemic-what-makes-reliance-so-attractive-for-investors-120100200670_1.html",0
10/2/2020,"Business Standard","How Is Dmart Planning To Take On Mukesh Ambani'S Reliance Retail","Ramping up e-commerce operations and going beyond its current strongholds are key challenges for the grocery chain in its battle with Mukesh Ambani's ...","/article/companies/how-is-dmart-planning-to-take-on-mukesh-ambani-s-reliance-retail-120100101666_1.html",0
10/2/2020,"Business Standard","Reliance Jio'S Fibre Arm To Raise Rs 14,700 Cr Through Invit Offer","Another Rs 25,000 cr to be raised by way of debt","/article/companies/reliance-jio-s-fibre-arm-to-raise-rs-14-700-cr-through-invit-offer-120100101502_1.html",0
10/2/2020,"Business Standard","Mubadala Picks Up 1.4% Stake In Reliance Retail For Rs 6,247 Crore","This would take the combined investment by Silver Lake and its co-investors in Reliance Retail to Rs 9,375 crore in exchange for a 2.13 per cent stake","/article/companies/mubadala-picks-up-1-4-stake-in-reliance-retail-for-rs-6-247-crore-120100200050_1.html",0
10/1/2020,"Press Trust of India","Mubadala Picks Up 1.4% Stake In Reliance Retail For Rs 6,247.5 Cr","This is the second investment by Mubadala in a subsidiary of Reliance Industries","/article/companies/mubadala-picks-up-1-4-stake-in-reliance-retail-for-rs-6-247-5-cr-120100101258_1.html",0
10/1/2020,"Business Standard","Market Wrap: Sensex Jumps 629 Pts On Broad-Based Buying; Nifty Bank Up 3.7%","All that happened in the markets today","/article/markets/market-live-markets-sensex-nifty-bse-nse-sgx-nifty-covid-19-cams-120100100158_1.html",0
10/1/2020,"Business Standard","Stocks To Watch: Ril, Cams, Chemcon Speciality, Dhanlaxmi Bank, Auto Stocks","Here's a list of stocks that may trade actively in today's session.","/article/markets/stocks-to-watch-ril-cams-chemcon-speciality-dhanlaxmi-bank-auto-stocks-120100100182_1.html",0
10/1/2020,"Business Standard","General Atlantic To Invest Rs 3,675 Cr Into Reliance Retail For 0.84% Stake","Strategic investor to be inducted later; General Atlantic becomes third PE firm to infuse funds","/article/companies/general-atlantic-to-invest-rs-3-675-cr-into-reliance-retail-for-0-84-stake-120093001114_1.html",0
9/30/2020,"Press Trust of India","Silver Lake Co-Investors To Further Invest Rs 1,875 Cr In Reliance Retail","This brings the aggregate investmentby Silver Lake and its co-investors in RRVL to Rs 9,375 crore, which will translate into a 2.13%  equity stake in ...","/article/companies/silver-lake-co-investors-to-further-invest-rs-1-875-cr-in-reliance-retail-120093001704_1.html",0
9/30/2020,"Business Standard","Market Wrap: Sensex Gains 95 Pts, Nifty Ends At 11,227; Fmcg Stocks Advance","All that happened in the markets today","/article/markets/market-live-markets-sensex-nifty-bse-nse-sgx-nifty-covid-19-airtel-120093000160_1.html",0
9/30/2020,"Business Standard","Ril Gains 1% As General Atlantic To Invest Rs 3,675 Cr In Reliance Retail","General Atlantic's investment will translate into a 0.84 per cent equity stake in RRVL. The deal values Reliance Retail at a pre-money equity value of...","/article/markets/ril-up-1-as-general-atlantic-to-pick-up-0-84-stake-in-reliance-retail-120093000233_1.html",0
9/30/2020,"Business Standard","General Atlantic To Invest Rs 3,675 Cr In Reliance Retail For 0.84% Stake","This is the second such investment by General Atlantic in a Reliance venture following a Rs 6,598.38 crore investment in Jio Platforms announced earli...","/article/companies/general-atlantic-to-invest-rs-3675-cr-into-reliance-retail-for-0-84-equity-120093000179_1.html",0
9/30/2020,"Business Standard","Stocks To Watch: Ril, Lvb, Indiabulls Housing Finance, Pvr Ltd, It Stocks","Here's a list of stocks that may trade actively in today's session.","/article/markets/stocks-to-watch-ril-lvb-indiabulls-housing-finance-pvr-ltd-it-stocks-120093000194_1.html",0
9/29/2020,"Reuters","Mubadala In Advanced Talks To Invest Up To $1 Bn In Reliance Retail: Report","Reliance Retail is on a fund raising spree and has secured around $1.8 billion in the past few weeks from KKR & Co and Silver Lake Partners","/article/companies/mubadala-in-advanced-talks-to-invest-up-to-1-bn-in-reliance-retail-report-120092901591_1.html",0
9/28/2020,"Business Standard","Virtual Agms See Lower Shareholder Representation Amid Covid-19 Pandemic","TCS and M&M were outliers, recording a two-fold rise in representation","/article/companies/virtual-agms-see-lower-shareholder-representation-amid-covid-19-pandemic-120092800028_1.html",0
9/28/2020,"Business Standard","Stocks To Watch: Lakshmi Vilas Bk, Ril, Jsw Energy, Voda Idea, Surya Roshni","Here's a list of stocks that may trade actively in today's session.","/article/markets/stocks-to-watch-lakshmi-vilas-bk-ril-jsw-energy-voda-idea-surya-roshni-120092800169_1.html",0
9/25/2020,"Business Standard","Bharti Airtel Gains 5% After Falling 11% In 2 Trading Sessions","A lack of tariff hike visibility in the near term, success of Jio's renewed post-paid push, delayed reaction from Bharti to counter Jio will determine...","/article/markets/bharti-airtel-gains-5-after-11-fall-in-2-trading-days-120092500434_1.html",0
9/25/2020,"Business Standard","Stocks To Watch: It Stks, Cipla, Ril, Tcs, Tata Coffee, Mahindra & Mahindra","Here's a list of stocks that may trade actively in today's session","/article/markets/stocks-to-watch-it-stks-cipla-ril-tcs-tata-coffee-mahindra-mahindra-120092500209_1.html",0
9/25/2020,"Business Standard","Ril In Talks To Buy Electronics Chain In South, Deal May Hit Rs 3,000 Cr","Electronics Mart runs 60 stores and has 1.200 employees; chain was started in 1980 by local businessman Pavan Kumar Bajaj as ""Bajaj Electronics"" and l...","/article/companies/ril-in-talks-to-buy-electronics-chain-in-south-deal-may-hit-rs-3-000-cr-120092401238_1.html",0
9/24/2020,"Business Standard","Reliance Jio Starts In-Flight Mobile Services In 22 International Airlines","Reliance Jio has partnered with 22 international airlines for in-cabin mobile services, including voice, data and SMS","/article/companies/reliance-jio-starts-in-flight-mobile-services-on-22-international-airlines-120092400984_1.html",0
9/24/2020,"Business Standard","Global Sell-Off, Lockdown Fear: 5 Reasons Why Sensex Tanked 1,115 Pts Today","The S&P BSE Sensex plunged 1,172 points in the intra-day deals on the BSE, while Nifty50 index tanked 342 points on the NSE","/article/markets/global-sell-off-lockdown-fear-5-reasons-why-sensex-tanked-1-115-pts-today-120092400968_1.html",0
9/24/2020,"Business Standard","Pe Firm Kkr Picks Up 1.28% Stake In Reliance Retail For Rs 5,550 Crore","Second PE deal in two weeks; valuation same at Rs 4.2 trillion","/article/companies/pe-firm-kkr-picks-up-1-28-stake-in-reliance-retail-for-rs-5-550-crore-120092400063_1.html",0
9/23/2020,"Business Standard","Market Wrap: Indices End Flat, Sensex Slips 66 Pts; Bharti Airtel Falls 8%","All that happened in the markets today","/article/markets/market-live-markets-sensex-nifty-bse-nse-sgx-nifty-tata-motors-tcs-120092300169_1.html",0
9/23/2020,"Business Standard","Kkr To Invest Rs 5,550 Crore In Reliance Retail Ventures For 1.28% Equity","Earlier, Silver Lake had invested Rs 7,500 cr into Reliance Retail Ventures, valuing the business at about Rs 4.2 trillion","/article/companies/kkr-to-invest-rs-5-550-crore-in-reliance-retail-ventures-for-1-28-equity-120092300186_1.html",0
9/23/2020,"Business Standard","Telecom Shares Under Pressure; Bharti Airtel, Vodafone Idea Slip Over 6%","Reliance Jio announced a range of postpaid plans, including many firsts such as in-flight mobile connectivity","/article/markets/telecom-shares-pressure-bharti-airtel-vodafone-idea-slip-over-6-120092300453_1.html",0
9/23/2020,"Business Standard","Ril, Tv18 Broadcast: How To Trade Reliance Group Stocks Post 2Nd Kkr Deal","RIL soared 3 per cent to Rs 2,276.50 on the BSE on Wednesday in intra-day trade, after the company announced that global investment firm KKR will inve...","/article/markets/ril-tv18-broadcast-how-to-trade-reliance-group-stocks-post-2nd-kkr-deal-120092300383_1.html",0
9/23/2020,"Business Standard","Ril Soars 3% As Kkr To Pick 1.28% Stake In Reliance Retail For Rs 5,550 Cr","This marks the second investment by KKR in a Reliance subsidiary following Rs 11,367 crore-investment in Jio Platforms announced earlier this year","/article/markets/ril-gains-3-on-kkr-rs-5-550-cr-investment-plan-in-reliance-retail-ventures-120092300258_1.html",0
9/23/2020,"Business Standard","Stocks To Watch: Ril, Sun Pharma, Tata Group Stocks, Ioc, Airtel, Voda Idea","Here's a list of stocks that may remain in focus today.","/article/markets/stocks-to-watch-ril-sun-pharma-tata-group-stocks-ioc-airtel-voda-idea-120092300207_1.html",0
9/22/2020,"Business Standard","Reliance Jio Announces Range Of Postpaid Plans To Take On Rivals","In the June quarter, Airtel had the highest ARPU among telecom companies of Rs 157 followed by Jio (Rs 140).","/article/companies/reliance-jio-announces-range-of-postpaid-plans-to-take-on-rivals-120092201450_1.html",0
9/22/2020,"Business Standard","Jio Announces Jiopostpaid Plus Plans With Free Ott Apps Subscription & More","The Reliance Jio's JioPostpaid plans come bundled with free access to Jio apps suite. The plans start at Rs 399 and goes up to Rs 1,499","/article/companies/jio-announces-jiopostpaid-plus-plans-with-free-ott-apps-subscription-more-120092200918_1.html",0
9/20/2020,"Business Standard","Street Signs: Sebi Nav Rule, More Bumper Listings On The Cards, And More","Market players believe the new Sebi rule on net asset values (NAVs) will help capture the transactions on both asset and liability sides without any l...","/article/markets/street-signs-sebi-nav-rule-more-bumper-listings-on-the-cards-and-more-120092001004_1.html",0
9/16/2020,"Business Standard","Reliance Ind'S Partly Paid Shares Rally Over 100% Since Listing On June 15","The stock had made a stellar debut with the scrip ending at Rs 698, a 122% premium against the issuance price of Rs 314.25. Coupled with the listing d...","/article/markets/ril-s-partly-paid-share-price-rally-over-100-since-listing-on-june-15-120091600592_1.html",0
9/15/2020,"Business Standard","Stocks To Watch: Sail, Strides Pharma, Nbcc, Icici Bank, Future Enterprises","Here's a list of stocks that may remain in focus today.","/article/markets/stocks-to-watch-sail-strides-pharma-nbcc-icici-bank-future-enterprises-120091500171_1.html",0
9/13/2020,"Business Standard","Markets Likely To Stay In 'Buy On Dips' Phase: Bernstein'S Venugopal Garre","Markets have run ahead of fundamentals, but this has been a broad global trend, says Venugopal Garre","/article/markets/markets-likely-to-stay-in-buy-on-dips-phase-bernstein-s-venugopal-garre-120091300746_1.html",0
9/13/2020,"Business Standard","At $200-Billion Market Capitalisation, Reliance Industries Isn'T Like Faang","Morgan Stanley analysed how the Mukesh Ambani-led firm stacked up against eight global firms when they crossed the $200-billion milestone","/article/markets/at-200-billion-market-capitalisation-reliance-industries-isn-t-like-faang-120091300740_1.html",0
9/12/2020,"Bloomberg","For Big Tech, All Roads To India'S Digital Space Seem To Go Through Ambani","The 63-year-old Indian tycoon has identified technology and retail as future growth areas in a pivot away from the energy businesses he inherited from...","/article/companies/for-big-tech-all-roads-to-india-s-digital-space-seem-to-go-through-ambani-120091200152_1.html",0
9/11/2020,"Bloomberg","Mukesh Ambani'S $2 Chutzpah Unlocks Another Fortune For Reliance Industries","In four years, the Indian billionaire has amassed roughly 400 million customers for his mobile data business","/article/companies/mukesh-ambani-s-2-chutzpah-unlocks-another-fortune-for-reliance-industries-120091100642_1.html",0
9/11/2020,"Business Standard","Can Reliance Industries' Stock Hit Rs 3,000 Mark? Here'S What Charts Say","As per the weekly chart, the counter looks highly bullish till Rs 2000 level is defended. It also indicates a substantial rally is likely to emerge on...","/article/markets/can-reliance-industries-stock-hit-rs-3-000-mark-here-s-what-charts-say-120091100392_1.html",0
9/11/2020,"Business Standard","Stocks To Watch: Info Edge, Thyrocare Tech, Adani Green, Irctc, Ril, Yes Bk","Here's a list of stocks that may trade actively in today's trading session.","/article/markets/stocks-to-watch-info-edge-thyrocare-tech-adani-green-irctc-ril-yes-bk-120091100230_1.html",0
9/11/2020,"Bloomberg","Reliance To Offer $20-Bn Stake In Retail Business To Amazon: Report","Amazon hasn't made any final decision on the size of its potential investment, says Bloomberg","/article/companies/reliance-industries-to-offer-20-billion-stake-in-retail-business-to-amazon-120091000945_1.html",0
9/10/2020,"Business Standard","New Hiring At Ril Starts Tapering, Standalone Employee Count Declines","According to data RIL collates on its website, the company's number of employees in FY20 at a standalone level declined 9 per cent year-on-year","/article/companies/new-hiring-at-ril-starts-tapering-standalone-employee-count-declines-120091001681_1.html",0
9/10/2020,"Business Standard","Reliance Industries Becomes First Indian Firm To Top $200 Bn Market Cap","TCS is a distant second with market cap of $119 bn; Meanwhile, Mukesh Ambani cements his place as richest man in Asia, seventh-richest globally. His w...","/article/companies/reliance-industries-becomes-first-indian-firm-to-top-200-bn-market-cap-120091001546_1.html",0
9/10/2020,"Business Standard","Reliance Offers Amazon $20-Billion Stake In Retail Arm: Report","The report comes a day after RIL announced that US private equity firm Silver Lake Partners would buy a 1.75 per cent stake in Reliance Retail for Rs ...","/article/companies/amazon-could-buy-20-billion-stake-in-reliance-retail-report-120091000556_1.html",0
9/10/2020,"Business Standard","Reliance Industries Hits Record High; M-Cap Crosses Rs 15 Trillion Mark","The stock has gained 10 per cent in the past two trading days after Silver Lake on Wednesday agreed to invest Rs 7,500 crore ($1 billion) into Relianc...","/article/markets/reliance-industries-hits-record-high-market-cap-nears-rs-15-trillion-mark-120091000303_1.html",0
9/10/2020,"Business Standard","Market: Sensex Ends 646 Pts Higher As Ril Jumps 7%; Nifty Settles At 11,449","All that happened in the markets today","/article/markets/market-live-markets-sensex-nifty-bse-nse-sgx-covid-19-ril-hal-120091000171_1.html",0
9/10/2020,"Business Standard","Stocks To Watch: Ril, Bharat Dynamics, Indiabulls Housing Fin, Adani Power","Here's a list of stocks that may trade actively in today's session.","/article/markets/stocks-to-watch-ril-bharat-dynamics-indiabulls-housing-fin-adani-power-120091000192_1.html",0
9/10/2020,"Reuters","Middle East Funds Eye Stakes Worth Over $750 Mn In Reliance Retail: Report","The discussions come as Reliance earlier in the day said US private equity firm Silver Lake Partners will invest $1.02 billion in its retail business","/article/companies/middle-east-funds-eye-stakes-worth-over-750-mn-in-reliance-retail-report-120091000160_1.html",0
9/9/2020,"Business Standard","Reliance Industries: Retail Valuations May Cap Near Term Upsides For Stock","The investment for a 1.75 per cent equity stake values the retail business at Rs 4.21 trillion","/article/companies/reliance-industries-retail-valuations-may-cap-near-term-upsides-for-stock-120090901578_1.html",0
9/9/2020,"Bloomberg","Kkr In Advanced Talks To Invest $1 Billion For Stake In Reliance Retail","KKR is in discussions for a stake in Reliance Retail Ventures Ltd., a unit of the largest retailer in India, said the people, who asked not to be iden...","/article/companies/kkr-in-advanced-talks-to-invest-1-billion-for-stake-in-reliance-retail-120090900390_1.html",0
9/9/2020,"Business Standard","Ril Gains 1% As Silver Lake To Invest Rs 7,500 Crore In Reliance Retail","This investment values RRVL at a pre-money equity value of Rs 4.21 trillion","/article/markets/ril-up-1-as-silver-lake-to-invest-rs-7-500-cr-in-reliance-retail-venture-120090900294_1.html",0
9/9/2020,"Business Standard","Silver Lake To Invest Rs 7,500 Cr In Reliance Retail For 1.75% Equity","The investment in Reliance Retail comes a day after it led a $500 million funding round for Byju's that valued the Indian online education platform at...","/article/companies/silver-lake-to-invest-rs-7-500-cr-in-reliance-retail-for-1-75-equity-120090900270_1.html",0
9/8/2020,"Business Standard","Market: Sensex Erases Day'S Gains, Ends 52 Pts Lower; Bharti Airtel Dips 3%","All that happened in the markets today","/article/markets/market-live-sensex-nifty-bse-nse-sgx-nifty-covid-19-bharat-dynamics-120090800140_1.html",0
9/8/2020,"Business Standard","Stocks To Watch: Banks, Ril, Vodafone Idea, Irctc, Bharat Dynamics, Wipro","Here's a list of stocks that may trade actively today.","/article/markets/stocks-to-watch-banks-ril-vodafone-idea-irctc-bharat-dynamics-wipro-120090800185_1.html",0
9/8/2020,"Business Standard","Reliance Industries Taps Facebook, Kkr For Investment In Retail Biz","Silver Lake Partners reportedly eyeing stake worth $1 billion in Reliance Retail","/article/companies/reliance-industries-taps-facebook-kkr-for-investment-in-retail-biz-120090701604_1.html",0
9/7/2020,"Business Standard","Bofa Securities Bets On Ril'S 'Layer Of Commerce', Maintains 'Buy'","RIL's approach of owning the ""pipe"" as well as the ""services"" offered on the pipe should help it keep the subscriber base captive, the brokerage says.","/article/markets/bofa-securities-bets-on-ril-s-layer-of-commerce-maintains-buy-120090700435_1.html",0
9/6/2020,"Press Trust of India","8 Of Top-10 Valued Firms Lose Rs 1.11 Trn In M-Cap; Icici, Ril Worst Hit","Tata Consultancy Services and HDFC Bank were the only gainers among the 10 most valued listed firms","/article/companies/8-of-top-10-valued-firms-lose-rs-1-11-trn-in-m-cap-icici-ril-worst-hit-120090600509_1.html",0
9/4/2020,"Business Standard","Market: Sensex Tanks 634 Pts On Broad-Based Sell-Off; Nifty Bank Slips 2%","All that happened in the markets today","/article/markets/market-live-markets-sensex-nifty-bse-nse-sgx-nifty-covid-19-ril-120090400144_1.html",0
9/4/2020,"Business Standard","Stocks To Watch: Ril, Infosys, Vodafone Idea, Itc, Tata Motors, Kec Int'L","Here's a list of stocks that may trade actively in today's session.","/article/markets/stocks-to-watch-ril-infosys-vodafone-idea-itc-tata-motors-kec-int-l-120090400178_1.html",0
9/4/2020,"Reuters","Silver Lake In Talks To Take $1 Billion Stake In Reliance Retail: Report","Reliance, an oil-to-telecoms conglomerate controlled by India's richest man, Mukesh Ambani, is pitching its retail business as a formidable force","/article/companies/silver-lake-in-talks-to-take-1-billion-stake-in-reliance-retail-report-120090400139_1.html",0
9/2/2020,"Business Standard","Isha, Akash Ambani, Byju, Poonawalla Debut On Fortune'S '40 Under 40' List","The list covers five sectors including finance, technology, health, government/politics and media/entertainment","/article/companies/isha-akash-ambani-byju-poonawala-debut-on-fortune-s-40-under-40-list-120090201861_1.html",0
9/2/2020,"Press Trust of India","Isha, Akash Ambani, Byju Debut On Fortune'S '40 Under 40' Influencer List","Fortune magazine said executives have moved quickly to support and empower employees while grappling with daunting challenges to the way their busines...","/article/companies/isha-akash-ambani-byju-debut-on-fortune-s-40-under-40-influencer-list-120090201781_1.html",0
9/2/2020,"Business Standard","Why Premjis, Ambanis And Nadars Beat Non-Family Run Companies","Family-owned businesses outdo peers in returns since 2006, suggests a Credit Suisse report","/article/markets/why-premjis-ambanis-and-nadars-beat-non-family-run-companies-120090200854_1.html",0
9/1/2020,"Reuters","Reliance Future-Proofs Retail Arm As It Seeks To Woo Potential Investors","The acquisition of Future Group's 2,000 retail stores and Big Bazaar grocery chain will help Reliance, which sells everything from groceries to electr...","/article/companies/reliance-future-proofs-retail-arm-as-it-seeks-to-woo-potential-investors-120090101214_1.html",0
9/1/2020,"Business Standard","Sensex Up 273 Pts; Bharti Airtel Up 7%, Voda Idea Dips 13% Post Agr Verdict","All that happened in the markets today","/article/markets/market-live-sensex-nifty-bse-nse-sgx-nifty-covid-19-gdp-agr-airtel-120090100150_1.html",0
9/1/2020,"Business Standard","Voda Idea Slips 25% From Day'S High; Airtel Up 6% Post Sc Agr Verdict","The Supreme Court has allowed telcos to pay their outstanding dues in 10 years.","/article/markets/vodaidea-slips-25-from-day-s-high-airtel-up-6-post-sc-agr-verdict-120090100575_1.html",0
9/1/2020,"Business Standard","Ambani-Biyani Deal: Future Group'S Footprint To Shrink By 80% In Revenue","Future would be one of the top contract manufacturers in FMCG, fashion space but with wafer-thin margin","/article/companies/ambani-biyani-deal-future-group-s-footprint-to-shrink-by-80-in-revenue-120083101759_1.html",0
9/1/2020,"Business Standard","Jio Takes On Rivals, Rolls Out New Broadband Plans Starting At Rs 399","Plans to be rolled out from today","/article/companies/jio-takes-on-rivals-rolls-out-new-broadband-plans-starting-at-rs-399-120090100039_1.html",0
8/31/2020,"Business Standard","Ambani-Biyani Deal: Retail Arm Leads Future Firms' Rally On Bourses","As part of the deal announced on Saturday, Future Group will be selling its retail assets to Reliance Retail in a deal pegged at Rs 24,713 crore","/article/companies/ambani-biyani-deal-retail-arm-leads-future-firms-rally-on-bourses-120083101773_1.html",0
8/31/2020,"Business Standard","Reliance Retail-Future Group Deal: Traders Worried Over Retail Mkt Monopoly","Praveen Khandelwal, secretary general of Confederation of All India Traders said the deal will lead to monopoly and consequently unfair domination by ...","/article/companies/reliance-retail-future-group-deal-traders-worried-over-retail-mkt-monopoly-120083101762_1.html",0
8/31/2020,"Business Standard","Reliance Retail Likely To Cut Down On Back-End Staff After Future Deal","Store staff to be retained, say sources","/article/companies/reliance-retail-likely-to-cut-down-on-back-end-staff-after-future-deal-120083101354_1.html",0
8/31/2020,"Business Standard","Sensex Tumbles 839 Pts On Broad-Based Sell-Off; Nifty Bank Declines Over 3%","All that happened in the markets today","/article/markets/market-live-sensex-nifty-bse-nse-sgx-nifty-ril-gdp-future-group-120083100120_1.html",0
8/31/2020,"Business Standard","Trading Strategy For Ril, Future Retail, Future Consumer, Future Lifestyle","The deal between the retail arm of RIL and Future Group has brought back focus on the related stocks. Here are the key levels track before you make an...","/article/markets/trading-strategy-for-ril-future-retail-future-consumer-future-lifestyle-120083100344_1.html",0
8/31/2020,"Business Standard","Ril-Future Group Deal: Ril Shares Rally Over 2.5%; Future Group Stocks Jump","Shares of RIL had hit an all-time high of Rs 2,198.70 on July 27, 2020.","/article/markets/ril-future-group-deal-ril-shares-rally-over-2-5-future-group-stocks-jump-120083100246_1.html",0
8/31/2020,"Business Standard","The Future Is In Good Hands; But Will The Promoter Buyout Come Later?","Mukesh Ambani, despite being a later starter in the Retail Business, is today the undisputed emperor.","/article/markets/the-future-is-in-good-hands-but-will-the-promoter-buyout-come-later-120083100185_1.html",0
8/31/2020,"Business Standard","Stocks To Watch: Ril, Itc, Rbl Bank, Wockhardt, Financials, Jk Cement","Here's a list of the stocks that may trade actively in today's trading session","/article/markets/stocks-to-watch-ril-itc-rbl-bank-wockhardt-financials-jk-cement-120083100149_1.html",0
