,Date,open,high,low,close,volume
0,2020-01-01,1518.0,1527.1,1505.5,1509.6,6402372
1,2020-01-02,1512.0,1540.95,1512.0,1535.3,8096561
2,2020-01-03,1533.0,1541.65,1523.0,1537.15,9593498
3,2020-01-06,1520.0,1527.9,1498.0,1501.5,11209343
4,2020-01-07,1519.0,1534.5,1513.5,1524.6,7627191
5,2020-01-08,1515.0,1534.45,1510.0,1513.15,7336561
6,2020-01-09,1538.6,1550.0,1531.25,1548.0,6849606
7,2020-01-10,1551.9,1557.95,1539.65,1547.65,5704686
8,2020-01-13,1545.05,1558.7,1538.4,1543.7,8358090
9,2020-01-14,1540.0,1550.0,1521.85,1529.4,7230788
10,2020-01-15,1535.85,1539.9,1518.25,1523.85,7231393
11,2020-01-16,1529.0,1543.35,1528.0,1537.9,5873662
12,2020-01-17,1553.5,1584.95,1553.2,1581.0,13469708
13,2020-01-20,1609.0,1609.0,1526.4,1532.35,14878868
14,2020-01-21,1528.6,1545.85,1522.0,1533.9,8650831
15,2020-01-22,1544.0,1546.75,1531.1,1533.35,4719245
16,2020-01-23,1536.5,1541.95,1520.7,1526.85,5142088
17,2020-01-24,1527.0,1536.35,1518.55,1521.55,6687633
18,2020-01-27,1514.9,1524.45,1505.0,1506.55,6120429
19,2020-01-28,1508.6,1510.0,1463.6,1471.75,11215313
20,2020-01-29,1474.05,1494.4,1464.05,1479.85,11313297
21,2020-01-30,1479.0,1479.7,1440.0,1443.75,10241756
22,2020-01-31,1453.0,1453.25,1407.2,1411.65,15886673
23,2020-02-01,1405.3,1426.95,1371.1,1383.35,11022901
24,2020-02-03,1369.9,1399.95,1363.05,1385.5,14040626
25,2020-02-04,1400.0,1432.5,1397.8,1426.4,11604666
26,2020-02-05,1434.9,1452.8,1430.3,1448.5,8444823
27,2020-02-06,1454.1,1467.0,1440.1,1457.8,7103715
28,2020-02-07,1451.0,1452.35,1428.3,1433.65,5581641
29,2020-02-10,1428.0,1445.5,1410.45,1435.6,6922631
30,2020-02-11,1447.4,1466.2,1445.05,1452.75,6400245
31,2020-02-12,1456.15,1474.85,1455.0,1470.3,6187091
32,2020-02-13,1477.75,1477.75,1462.6,1474.15,6201763
33,2020-02-14,1477.25,1501.45,1453.1,1487.6,9704655
34,2020-02-17,1489.0,1506.15,1474.3,1478.25,6011340
35,2020-02-18,1475.9,1475.9,1457.4,1467.4,5086964
36,2020-02-19,1479.35,1506.45,1475.1,1503.8,6438918
37,2020-02-20,1497.0,1508.0,1483.8,1485.95,7722577
38,2020-02-24,1469.75,1477.0,1439.55,1444.95,9769743
39,2020-02-25,1451.4,1451.4,1410.0,1416.4,12684109
40,2020-02-26,1410.0,1412.35,1387.35,1392.0,13423661
41,2020-02-27,1388.0,1393.8,1369.0,1386.25,11454300
42,2020-02-28,1354.9,1357.0,1325.0,1328.65,17973847
43,2020-03-02,1355.1,1369.0,1301.1,1316.15,13486634
44,2020-03-03,1329.7,1353.9,1322.0,1342.85,12525809
45,2020-03-04,1352.0,1353.8,1307.9,1339.7,10105782
46,2020-03-05,1352.2,1357.95,1306.0,1311.15,13948324
47,2020-03-06,1270.0,1288.15,1241.1,1271.0,15422068
48,2020-03-09,1240.05,1241.0,1095.0,1114.15,40317808
49,2020-03-11,1108.0,1178.45,1108.0,1153.55,27237627
50,2020-03-12,1085.0,1101.0,1048.7,1063.0,25588170
51,2020-03-13,998.0,1140.0,942.4,1105.3,33509757
52,2020-03-16,1060.55,1079.7,1005.0,1015.7,17594729
53,2020-03-17,1047.25,1060.0,1003.2,1008.0,20777442
54,2020-03-18,1025.3,1035.9,961.0,968.5,20450497
55,2020-03-19,920.1,967.0,892.2,917.7,28072062
56,2020-03-20,939.5,1034.9,930.0,1017.95,28967526
57,2020-03-23,916.2,950.0,875.65,884.05,18593713
58,2020-03-24,930.0,970.0,895.8,943.4,20919322
59,2020-03-25,963.8,1151.55,963.25,1082.25,33433126
60,2020-03-26,1095.8,1116.9,1042.35,1066.2,20912934
61,2020-03-27,1095.0,1107.3,1046.2,1065.6,19044644
62,2020-03-30,1040.6,1074.8,1020.0,1030.45,13820286
63,2020-03-31,1073.95,1129.8,1048.0,1113.75,20249909
64,2020-04-01,1122.25,1124.6,1045.2,1080.45,19017099
65,2020-04-03,1134.45,1134.45,1056.3,1077.45,18912044
66,2020-04-07,1102.1,1214.0,1100.0,1206.1,24859057
67,2020-04-08,1180.0,1229.0,1160.0,1192.15,22803774
68,2020-04-09,1214.0,1232.8,1193.0,1219.95,15101711
69,2020-04-13,1203.95,1215.0,1180.0,1189.15,10822871
70,2020-04-15,1197.05,1236.0,1143.0,1149.85,16147959
71,2020-04-16,1149.85,1187.45,1145.0,1168.05,17123533
72,2020-04-17,1216.0,1230.0,1192.65,1224.0,15209707
73,2020-04-20,1226.0,1257.0,1202.0,1243.8,16472339
74,2020-04-21,1210.0,1252.0,1164.0,1237.35,28057706
75,2020-04-22,1320.0,1384.9,1300.0,1363.6,65230894
76,2020-04-23,1367.35,1385.85,1353.3,1370.9,29928331
77,2020-04-24,1350.15,1494.95,1347.2,1417.0,61711388
78,2020-04-27,1434.0,1475.0,1423.0,1429.75,26736512
79,2020-04-28,1450.0,1455.45,1392.15,1428.15,35866381
80,2020-04-29,1444.9,1453.65,1420.0,1426.95,17141540
81,2020-04-30,1453.95,1494.95,1438.05,1466.0,32617901
82,2020-05-04,1440.0,1465.0,1417.45,1435.2,24439240
83,2020-05-05,1453.7,1479.0,1447.2,1460.65,20528706
84,2020-05-06,1464.0,1484.95,1445.5,1460.75,18510304
85,2020-05-07,1455.0,1513.65,1445.0,1506.95,22871529
86,2020-05-08,1545.0,1579.9,1537.1,1561.8,38522385
87,2020-05-11,1580.0,1615.0,1572.3,1576.8,30670404
88,2020-05-12,1564.8,1568.35,1465.0,1479.25,46029119
89,2020-05-13,1527.0,1527.0,1454.0,1496.45,30658051
90,2020-05-14,1469.0,1496.7,1430.05,1435.95,22736714
91,2020-05-15,1444.0,1466.7,1415.1,1459.4,28683432
92,2020-05-18,1470.0,1482.0,1428.0,1440.75,28981620
93,2020-05-19,1457.0,1461.7,1403.25,1408.9,19529216
94,2020-05-20,1410.0,1446.85,1393.0,1433.7,25530692
95,2020-05-21,1435.0,1461.45,1425.0,1441.25,18077196
96,2020-05-22,1451.8,1458.0,1426.5,1431.55,17458503
97,2020-05-26,1448.15,1449.7,1416.3,1424.05,15330793
98,2020-05-27,1431.0,1454.0,1412.0,1445.55,16460764
99,2020-05-28,1455.0,1479.75,1449.0,1472.25,18519252
100,2020-05-29,1468.0,1472.0,1452.65,1464.4,18471770
101,2020-06-01,1480.0,1538.35,1475.95,1520.35,18434065
102,2020-06-02,1526.0,1540.0,1520.8,1535.7,10224102
103,2020-06-03,1545.0,1560.0,1533.35,1541.65,11713666
104,2020-06-04,1544.0,1589.5,1541.0,1579.8,15784612
105,2020-06-05,1595.0,1618.0,1573.7,1581.7,15270435
106,2020-06-08,1618.4,1618.4,1565.0,1569.5,14498055
107,2020-06-09,1560.3,1583.0,1533.0,1537.15,11934073
108,2020-06-10,1543.1,1579.55,1540.05,1572.15,10214426
109,2020-06-11,1566.0,1567.95,1531.0,1537.7,9408283
110,2020-06-12,1500.0,1593.0,1497.0,1588.8,17790565
111,2020-06-15,1565.0,1626.95,1561.1,1614.55,24509162
112,2020-06-16,1643.0,1648.55,1585.3,1617.7,23623299
113,2020-06-17,1608.25,1635.45,1602.1,1615.35,19282519
114,2020-06-18,1607.0,1665.0,1605.6,1655.9,18677694
115,2020-06-19,1670.0,1788.8,1662.0,1759.4,48828852
116,2020-06-22,1773.4,1804.2,1735.0,1746.15,27781772
117,2020-06-23,1750.0,1763.75,1716.1,1720.9,17521196
118,2020-06-24,1735.9,1772.7,1711.7,1727.85,23808524
119,2020-06-25,1727.0,1749.0,1713.05,1717.9,18312705
120,2020-06-26,1728.8,1752.0,1717.0,1741.65,14270695
121,2020-06-29,1728.05,1739.75,1715.55,1723.15,11825126
122,2020-06-30,1737.0,1741.0,1695.55,1704.1,13973038
123,2020-07-01,1720.0,1749.0,1708.05,1737.6,13136706
124,2020-07-02,1743.0,1767.6,1735.05,1760.35,13286760
125,2020-07-03,1779.8,1793.0,1768.0,1787.9,13584004
126,2020-07-06,1805.0,1858.0,1792.1,1851.8,21698149
127,2020-07-07,1860.0,1864.35,1806.3,1823.45,16240102
128,2020-07-08,1824.05,1834.95,1790.0,1798.0,12093523
129,2020-07-09,1809.0,1835.0,1786.25,1824.25,16807403
130,2020-07-10,1828.5,1884.6,1824.25,1878.05,20195490
131,2020-07-13,1903.35,1947.7,1900.0,1935.0,32124397
132,2020-07-14,1934.0,1941.7,1887.3,1917.0,31073591
133,2020-07-15,1937.95,1978.8,1798.0,1844.0,64458598
134,2020-07-16,1847.0,1869.0,1812.45,1843.4,28133993
135,2020-07-17,1845.0,1920.0,1838.0,1911.7,22949535
136,2020-07-20,1917.8,1932.0,1899.65,1919.9,16887752
137,2020-07-21,1939.0,1977.0,1936.5,1971.55,19463498
138,2020-07-22,1983.0,2010.0,1960.7,2004.0,27584769
139,2020-07-23,2003.95,2079.7,1991.35,2057.8,26921058
140,2020-07-24,2058.0,2163.0,2057.8,2146.15,55656793
141,2020-07-27,2178.8,2198.8,2127.9,2156.2,37060949
142,2020-07-28,2156.2,2194.0,2150.65,2177.7,25435618
143,2020-07-29,2177.9,2182.8,2070.45,2096.65,33536361
144,2020-07-30,2099.0,2139.7,2072.0,2108.85,33624516
145,2020-07-31,2114.5,2129.0,2052.8,2067.1,34593375
146,2020-08-03,2051.3,2057.0,2003.1,2009.0,21560137
147,2020-08-04,2020.6,2167.0,2000.25,2150.6,42477225
148,2020-08-05,2169.0,2196.0,2118.3,2126.45,34405886
149,2020-08-06,2157.0,2167.7,2107.8,2134.1,22762726
150,2020-08-07,2129.8,2157.8,2120.2,2146.45,15222384
151,2020-08-10,2159.1,2165.0,2108.1,2119.85,12441939
